ObjectID,Shape,FID_Sheet1_XYTableToPoint1,F1,Station,Latitude,Longitude,Height,FID_Unsplitted_Coastal_Line_Buff5
203,Point,3735,3734,DEN4,29.5,-95.23,-16.445,1
204,Point,3733,3732,DEN2,29.505,-95.254,-14.879,1
205,Point,3732,3731,DEN1,29.51,-95.258,-14.411,1
206,Point,16982,16981,TXRO,29.519,-95.807,3.498,1
207,Point,16984,16983,TXRS,29.519,-95.805,3.107,1
208,Point,16841,16840,TXGZ,29.523,-97.439,84.775,1
209,Point,17119,17118,UHEB,29.526,-96.066,15.186,1
210,Point,16975,16974,TXRB,29.533,-95.819,6.035,1
211,Point,12864,12863,PA00,29.539,-95.152,-17.181,1
212,Point,16981,16980,TXRN,29.543,-95.829,9.141,1
213,Point,10834,10833,NASA,29.552,-95.096,-20.458,1
214,Point,4707,4706,FSFB,29.556,-95.63,2.432,1
215,Point,16843,16842,TXH2,29.563,-94.391,-13.547,1
216,Point,17127,17126,UHSL,29.575,-95.652,13.648,1
217,Point,17116,17115,UHCL,29.578,-95.104,-10.504,1
218,Point,8535,8534,LAHO,29.579,-90.711,-15.4,1
219,Point,17001,17000,TXSE,29.591,-97.998,147.532,1
220,Point,5942,5941,HOUM,29.592,-90.724,-12.692,1
221,Point,4527,4526,FLBN,29.594,-81.287,-10.399,1
222,Point,8533,8532,LAHA,29.596,-90.72,-19.227,1
223,Point,16844,16843,TXH3,29.602,-95.385,-6.869,1
224,Point,9584,9583,ME01,29.608,-95.276,-10.742,1
225,Point,16996,16995,TXS9,29.609,-94.995,-18.099,1
226,Point,16938,16937,TXNF,29.617,-98.125,180.316,1
227,Point,9718,9717,MGW1,29.618,-89.947,-24.882,1
228,Point,9720,9719,MGW3,29.618,-89.947,-24.556,1
229,Point,9719,9718,MGW2,29.619,-89.947,-24.556,1
230,Point,3837,3836,DMFB,29.623,-95.584,3.529,1
231,Point,2861,2860,COH2,29.629,-95.412,-11.469,1
232,Point,18452,18451,XCTY,29.631,-83.108,-15.286,1
233,Point,8503,8502,LABV,29.644,-89.928,-8.159,1
234,Point,9642,9641,MEPD,29.658,-95.24,-12.685,1
235,Point,13348,13347,PLTK,29.663,-81.688,-19.458,1
236,Point,16953,16952,TXP5,29.668,-95.042,-14.595,1
237,Point,2860,2859,COH1,29.67,-95.543,-6.267,1
238,Point,16593,16592,TSI1,29.673,-95.123,-14.607,1
239,Point,2702,2701,CMFB,29.681,-95.729,8.153,1
240,Point,5324,5323,GNVL,29.687,-82.277,22.435,1
241,Point,18017,18016,WEPD,29.688,-95.229,-15.807,1
242,Point,484,483,ALEF,29.692,-95.635,5.592,1
243,Point,8684,8683,LCFL,29.703,-97.105,100.698,1
244,Point,16767,16766,TXCM,29.703,-96.577,44.175,1
245,Point,16752,16751,TXC5,29.704,-96.573,43.717,1
246,Point,16761,16760,TXCF,29.704,-96.572,46.975,1
247,Point,16143,16142,THSU,29.714,-95.34,-10.301,1
248,Point,16860,16859,TXHS,29.716,-95.556,-0.188,1
249,Point,17126,17125,UHRI,29.719,-95.403,1.892,1
250,Point,17120,17119,UHEP,29.719,-95.327,-4.454,1
251,Point,17110,17109,UH01,29.722,-95.345,13.56,1
252,Point,10435,10434,MRKB,29.722,-85.026,-21.368,1
253,Point,17123,17122,UHKD,29.724,-95.748,2.857,1
254,Point,17124,17123,UHKS,29.724,-95.748,1.754,1
