date, Water Level
2017-04-01,1.7159041
2017-04-02,1.7549417
2017-04-03,1.2593209
2017-04-04,0.9749625
2017-04-05,0.35013333
2017-04-06,-0.1136375
2017-04-07,0.18485416
2017-04-08,0.4792
2017-04-09,0.7788875
2017-04-10,1.0652916
2017-04-11,1.1146584
2017-04-12,1.1586292
2017-04-13,1.06855
2017-04-14,1.208375
2017-04-15,1.3018042
2017-04-16,1.3660792
2017-04-17,1.3259166
2017-04-18,1.197525
2017-04-19,1.3534125
2017-04-20,1.3709416
2017-04-21,1.36975
2017-04-22,1.3595
2017-04-23,0.23085417
2017-04-24,0.78447086
2017-04-25,1.3422333
2017-04-26,1.5856167
2017-04-27,1.1787708
2017-04-28,1.4878583
2017-04-29,2.2025626
2017-04-30,1.5377667
2017-05-01,1.2194208
2017-05-02,1.091775
2017-05-03,1.7472
2017-05-04,0.9593458
2017-05-05,0.30298334
2017-05-06,0.31435832
2017-05-07,0.6805083
2017-05-08,0.7867917
2017-05-09,1.1621833
2017-05-10,1.2536167
2017-05-11,1.1756542
2017-05-12,0.59387916
2017-05-13,0.24329583
2017-05-14,0.46633333
2017-05-15,0.71136665
2017-05-16,1.1132625
2017-05-17,1.6084917
2017-05-18,1.4618167
2017-05-19,1.7389667
2017-05-20,1.6540583
2017-05-21,1.2356292
2017-05-22,1.4652083
2017-05-23,1.2630209
2017-05-24,0.53305
2017-05-25,0.58769166
2017-05-26,0.96278334
2017-05-27,0.99755836
2017-05-28,0.93875414
2017-05-29,1.0983666
2017-05-30,0.93394583
2017-05-31,1.0139333
2017-06-01,1.0436791
2017-06-02,1.0982375
2017-06-03,1.1482875
2017-06-04,0.9846042
2017-06-05,1.127175
2017-06-06,0.8317292
2017-06-07,0.62126666
2017-06-08,0.9146875
2017-06-09,1.1997334
2017-06-10,1.3271375
2017-06-11,1.3739291
2017-06-12,1.3502
2017-06-13,1.5715458
2017-06-14,1.5848666
2017-06-15,1.2830375
2017-06-16,0.9812792
2017-06-17,0.9864708
2017-06-18,1.0963125
2017-06-19,0.9579708
2017-06-20,0.8925333
2017-06-21,1.5806667
2017-06-22,2.0316625
2017-06-23,1.6504834
2017-06-24,1.5135083
2017-06-25,1.2133666
2017-06-26,1.1747042
2017-06-27,1.348975
2017-06-28,1.6452541
2017-06-29,1.4953
2017-06-30,1.4065292
2017-07-01,1.2300792
2017-07-02,0.93925834
2017-07-03,0.89757913
2017-07-04,0.84921247
2017-07-05,0.7644333
2017-07-06,0.7599292
2017-07-07,0.61001664
2017-07-08,0.5413
2017-07-09,0.48421666
